165.00  1.01E-03  1.20E-04 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00
175.00  6.48E-04  9.66E-05 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00  1.17E-03  1.17E-03
185.00  6.79E-04  1.06E-04 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00  3.20E-04  1.85E-04
195.00  5.02E-04  1.77E-04 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00  4.49E-04  8.49E-05
205.00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00  6.14E-04  8.21E-05
215.00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00  1.06E-03  3.99E-04  1.52E-03  2.26E-04  1.45E-03  1.62E-04  1.82E-03  2.32E-04 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00  3.17E-04  5.89E-05
225.00  4.38E-04  2.53E-04  7.94E-04  1.30E-04  8.80E-04  8.93E-05  1.38E-03  1.12E-04  1.64E-03  1.28E-04  1.77E-03  1.13E-04  1.50E-03  1.07E-04  1.13E-03  1.81E-04 -9.99E+00 -9.99E+00  2.30E-04  6.39E-05  4.17E-04  9.32E-05
235.00  2.71E-04  5.92E-05  5.53E-04  7.82E-05  9.54E-04  2.19E-04  1.38E-03  6.91E-04  1.77E-03  4.58E-04  3.11E-03  3.11E-03  1.71E-03  2.22E-04  1.45E-03  1.32E-04 -9.99E+00 -9.99E+00  3.22E-04  5.09E-05  2.08E-04  1.20E-04
245.00  4.14E-04  8.12E-05  9.38E-04  4.69E-04  8.96E-04  3.66E-04  1.45E-03  4.36E-04 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00  1.15E-03  3.46E-04 -9.99E+00 -9.99E+00  3.11E-04  4.69E-05  2.37E-04  4.07E-05
255.00  1.06E-04  1.06E-04  5.81E-04  2.90E-04  6.08E-04  4.30E-04 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00 -9.99E+00  2.72E-04  5.55E-05  2.48E-04  1.75E-04
